Unnamed: 0,date,price,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
6325,3987,325000.0,3,1780,13095,1.0,0,0,4,9,1780,0,1983,0,98042,47.367,-122.152,2750,13095
13473,3700,257000.0,2,1000,3700,1.0,0,0,3,6,800,200,1929,0,98118,47.552,-122.29,1270,5000
17614,3712,228500.0,3,1080,7486,1.5,0,0,3,6,990,90,1942,0,98146,47.4838,-122.335,1170,7800
16970,3761,288000.0,3,2090,7500,1.0,0,0,4,7,1280,810,1977,0,98031,47.3951,-122.172,1800,7350
20868,3662,479000.0,2,1741,1439,2.0,0,0,3,8,1446,295,2007,0,98034,47.7043,-122.209,2090,10454
8993,3911,459900.0,3,2340,51836,1.5,0,0,3,8,1510,830,1978,0,98027,47.4846,-122.035,2060,77536
10432,3980,449500.0,5,2040,7488,1.0,0,0,4,7,1200,840,1969,0,98034,47.7289,-122.172,1530,7488
10163,3756,769000.0,5,3320,13138,1.0,0,2,4,9,1900,1420,1964,0,98028,47.759,-122.269,2820,13138
17889,3973,680000.0,3,1760,8400,1.0,0,0,4,8,1460,300,1960,0,98136,47.5355,-122.39,1980,8400
13246,3683,293500.0,3,1610,5024,2.0,0,0,3,7,1610,0,2004,0,98038,47.3833,-122.043,1790,3717
7958,3681,203000.0,3,1190,6000,1.0,0,0,3,7,1190,0,1952,2015,98178,47.5026,-122.236,1200,6000
14227,3650,360000.0,5,2480,7200,1.0,0,0,3,7,1560,920,1999,0,98188,47.4586,-122.283,1910,9432
5564,3931,258000.0,3,1390,7200,1.0,0,0,3,7,1390,0,1996,0,98058,47.434,-122.154,1630,7340
2154,3865,245990.0,3,1040,8410,1.0,0,0,3,7,1040,0,1942,2014,98188,47.453,-122.289,1350,8410
5701,3699,352000.0,5,2980,9838,1.0,0,0,3,7,1710,1270,1968,0,98030,47.3807,-122.222,2240,9838
21058,3971,300000.0,3,1470,1235,2.0,0,0,3,7,1180,290,2008,0,98108,47.5537,-122.313,1470,1243
